route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name
3,73053,7227777,Market + Sansome,0,302,141034,
3,73054,7227881,Market + Sansome,0,302,141034,
3,73053,7227778,Market + Sansome,0,303,141034,
3,73054,7227882,Market + Sansome,0,303,141034,
3,73053,7227779,Market + Sansome,0,304,141034,
3,73054,7227883,Market + Sansome,0,304,141034,
3,73053,7227780,Market + Sansome,0,301,141034,
3,73054,7227884,Market + Sansome,0,301,141034,
3,73053,7227781,Market + Sansome,0,302,141034,
3,73054,7227885,Market + Sansome,0,302,141034,
3,73053,7227782,Market + Sansome,0,303,141034,
3,73054,7227886,Market + Sansome,0,303,141034,
3,73052,7227668,Market + Sansome,0,353,141034,
3,73054,7227887,Market + Sansome,0,304,141034,
3,73053,7227783,Market + Sansome,0,304,141034,
3,73052,7227669,Market + Sansome,0,355,141034,
3,73054,7227888,Market + Sansome,0,301,141034,
3,73052,7227670,Market + Sansome,0,358,141034,
3,73053,7227784,Market + Sansome,0,301,141034,
3,73052,7227671,Market + Sansome,0,351,141034,
3,73053,7227785,Market + Sansome,0,302,141034,
3,73054,7227889,Market + Sansome,0,302,141034,
3,73052,7227672,Market + Sansome,0,353,141034,
3,73053,7227786,Market + Sansome,0,303,141034,
3,73054,7227890,Market + Sansome,0,303,141034,
3,73053,7227787,Market + Sansome,0,304,141034,
3,73054,7227891,Market + Sansome,0,304,141034,
3,73052,7227673,Market + Sansome,0,355,141034,
3,73054,7227892,Market + Sansome,0,301,141034,
3,73052,7227674,Market + Sansome,0,358,141034,
3,73053,7227788,Market + Sansome,0,301,141034,
3,73053,7227789,Market + Sansome,0,302,141034,
3,73054,7227893,Market + Sansome,0,302,141034,
3,73052,7227675,Market + Sansome,0,351,141034,
3,73054,7227894,Market + Sansome,0,303,141034,
3,73053,7227790,Market + Sansome,0,303,141034,
3,73052,7227676,Market + Sansome,0,353,141034,
3,73052,7227677,Market + Sansome,0,355,141034,
3,73053,7227791,Market + Sansome,0,304,141034,
3,73054,7227895,Market + Sansome,0,304,141034,
3,73054,7227896,Market + Sansome,0,301,141034,
3,73052,7227678,Market + Sansome,0,358,141034,
3,73053,7227792,Market + Sansome,0,301,141034,
3,73053,7227793,Market + Sansome,0,302,141034,
3,73054,7227897,Market + Sansome,0,302,141034,
3,73052,7227679,Market + Sansome,0,351,141034,
3,73052,7227680,Market + Sansome,0,355,141034,
3,73054,7227898,Market + Sansome,0,304,141034,
3,73053,7227794,Market + Sansome,0,304,141034,
3,73053,7227795,Market + Sansome,0,301,141034,
3,73052,7227681,Market + Sansome,0,358,141034,
3,73054,7227899,Market + Sansome,0,301,141034,
3,73052,7227578,Presidio + California,1,301,141033,
3,73054,7227796,Presidio + California,1,301,141033,
3,73053,7227692,Presidio + California,1,301,141033,
3,73052,7227579,Presidio + California,1,302,141033,
3,73054,7227797,Presidio + California,1,302,141033,
3,73053,7227693,Presidio + California,1,302,141033,
3,73052,7227580,Presidio + California,1,303,141033,
3,73054,7227798,Presidio + California,1,303,141033,
3,73053,7227694,Presidio + California,1,303,141033,
3,73052,7227581,Presidio + California,1,305,141033,
3,73054,7227799,Presidio + California,1,304,141033,
3,73053,7227695,Presidio + California,1,304,141033,
3,73052,7227582,Presidio + California,1,301,141033,
3,73053,7227696,Presidio + California,1,301,141033,
3,73054,7227800,Presidio + California,1,301,141033,
